	input	translation
263821	Q71U36	R-HSA-8854518
263822	Q71U36	R-HSA-8955332
263823	Q71U36	R-HSA-8955332
263824	Q71U36	R-HSA-9609690
263825	Q71U36	R-HSA-9609736
263826	Q71U36	R-HSA-9619483
263827	Q71U36	R-HSA-9646399
263828	Q71U36	R-HSA-9646399
263829	Q71U36	R-HSA-9648025
263830	Q71U36	R-HSA-9668328
263831	Q71U36	R-HSA-983189
263849	Q71UI9	R-HSA-110328
263850	Q71UI9	R-HSA-110329
263851	Q71UI9	R-HSA-110330
263852	Q71UI9	R-HSA-110330
263853	Q71UI9	R-HSA-110331
263854	Q71UI9	R-HSA-110331
263855	Q71UI9	R-HSA-1221632
263856	Q71UI9	R-HSA-171306
263857	Q71UI9	R-HSA-1912408
263858	Q71UI9	R-HSA-201722
263859	Q71UI9	R-HSA-201722
263860	Q71UI9	R-HSA-212300
263861	Q71UI9	R-HSA-2299718
263862	Q71UI9	R-HSA-2559580
263863	Q71UI9	R-HSA-2559582
263864	Q71UI9	R-HSA-2559586
263865	Q71UI9	R-HSA-3214858
263866	Q71UI9	R-HSA-427359
263867	Q71UI9	R-HSA-427389
263868	Q71UI9	R-HSA-427413
263869	Q71UI9	R-HSA-427413
263870	Q71UI9	R-HSA-5250924
263871	Q71UI9	R-HSA-5334118
263872	Q71UI9	R-HSA-5578749
263873	Q71UI9	R-HSA-5617472
263874	Q71UI9	R-HSA-5625886
263875	Q71UI9	R-HSA-606279
263876	Q71UI9	R-HSA-68616
263877	Q71UI9	R-HSA-73728
263878	Q71UI9	R-HSA-73772
263879	Q71UI9	R-HSA-8936459
263880	Q71UI9	R-HSA-8939236
263881	Q71UI9	R-HSA-9018519
263882	Q71UI9	R-HSA-912446
263883	Q71UI9	R-HSA-9616222
263884	Q71UI9	R-HSA-9670095
263885	Q71UI9	R-HSA-9710421
263886	Q71UM5	R-HSA-156827
263887	Q71UM5	R-HSA-156902
263888	Q71UM5	R-HSA-1799339
263889	Q71UM5	R-HSA-1799339
263890	Q71UM5	R-HSA-192823
263891	Q71UM5	R-HSA-2408557
263892	Q71UM5	R-HSA-6791226
263893	Q71UM5	R-HSA-72649
263894	Q71UM5	R-HSA-72689
263895	Q71UM5	R-HSA-72695
263896	Q71UM5	R-HSA-72702
263897	Q71UM5	R-HSA-72706
263898	Q71UM5	R-HSA-72764
263899	Q71UM5	R-HSA-9010553
263900	Q71UM5	R-HSA-9633012
263901	Q71UM5	R-HSA-9754678
263902	Q71UM5	R-HSA-975956
263903	Q71UM5	R-HSA-975957
263969	Q75MW2	R-HSA-212436
263970	Q75N03	R-HSA-8876493
263973	Q75N90	R-HSA-1474228
263974	Q75N90	R-HSA-1566948
263975	Q75N90	R-HSA-2129379
263976	Q75N90	R-HSA-2129379
263994	Q75QN2	R-HSA-6807505
263995	Q75QN2	R-HSA-6807505
263998	Q75T13	R-HSA-162791
264003	Q75V66	R-HSA-2672351
264037	Q765I0	R-HSA-375276
264038	Q765I0	R-HSA-416476
264074	Q76EJ3	R-HSA-2022854
264075	Q76EJ3	R-HSA-2022928
264076	Q76EJ3	R-HSA-727802
264134	Q76L83	R-HSA-5689603
264214	Q76LX8	R-HSA-5083635
264215	Q76LX8	R-HSA-5173214
264250	Q76N89	R-HSA-4641258
264255	Q76NM5	R-HSA-202733
264292	Q76RF1	R-HSA-140534
264382	Q7D8E1	R-HSA-1222541
265581	Q7KYR7	R-HSA-8851680
265582	Q7KZ85	R-HSA-112382
265583	Q7KZ85	R-HSA-674695
265584	Q7KZ85	R-HSA-75955
265585	Q7KZF4	R-HSA-6802952
265586	Q7KZN9	R-HSA-189451
265587	Q7L014	R-HSA-72163
265588	Q7L0J3	R-HSA-5250955
265589	Q7L0J3	R-HSA-5250968
265590	Q7L0J3	R-HSA-5250981
265591	Q7L0J3	R-HSA-5250992
265592	Q7L0Q8	R-HSA-6785807
265593	Q7L0Q8	R-HSA-9013420
265594	Q7L0Q8	R-HSA-9013420
265595	Q7L0Y3	R-HSA-6785470
265596	Q7L0Y3	R-HSA-6787450
265597	Q7L0Y3	R-HSA-8868766
265598	Q7L190	R-HSA-2892247
265599	Q7L1I2	R-HSA-5250955
265600	Q7L1I2	R-HSA-5250968
265601	Q7L1I2	R-HSA-5250981
265602	Q7L1I2	R-HSA-5250992
265603	Q7L1S5-2	R-HSA-2022870
265604	Q7L1T6	R-HSA-1237044
265605	Q7L1V2	R-HSA-8876198
265606	Q7L1W4	R-HSA-5223345
265607	Q7L266	R-HSA-8964208
265608	Q7L2H7	R-HSA-156827
265609	Q7L2H7	R-HSA-72649
265610	Q7L2H7	R-HSA-72689
265611	Q7L2H7	R-HSA-72695
265612	Q7L2H7	R-HSA-72702
265613	Q7L2H7	R-HSA-72706
265614	Q7L2Z9	R-HSA-141444
265615	Q7L2Z9	R-HSA-2467813
265616	Q7L2Z9	R-HSA-2500257
265617	Q7L2Z9	R-HSA-5663220
265618	Q7L2Z9	R-HSA-606279
265619	Q7L2Z9	R-HSA-68877
265620	Q7L2Z9	R-HSA-9648025
265621	Q7L3B6	R-HSA-114608
265622	Q7L3S4	R-HSA-212436
265623	Q7L3T8	R-HSA-379726
265624	Q7L4E1	R-HSA-1483166
265625	Q7L523	R-HSA-1632852
265626	Q7L523	R-HSA-165159
265627	Q7L523	R-HSA-166208
265628	Q7L523	R-HSA-380972
265629	Q7L523	R-HSA-5628897
265630	Q7L523	R-HSA-8866654
265631	Q7L523	R-HSA-8943724
265632	Q7L523	R-HSA-9639288
265633	Q7L576	R-HSA-2029482
265634	Q7L576	R-HSA-2029482
265635	Q7L576	R-HSA-4420097
265636	Q7L576	R-HSA-5663213
265637	Q7L576	R-HSA-5663213
265638	Q7L576	R-HSA-6798695
265639	Q7L576	R-HSA-9013149
265640	Q7L576	R-HSA-9013404
265641	Q7L576	R-HSA-9013408
265642	Q7L576	R-HSA-9013423
265643	Q7L576	R-HSA-9664422
265644	Q7L576	R-HSA-9664422
265645	Q7L590	R-HSA-176187
265646	Q7L590	R-HSA-68962
265647	Q7L591	R-HSA-6798695
265648	Q7L592	R-HSA-6799198
265649	Q7L5A8	R-HSA-1660661
265650	Q7L5D6	R-HSA-9609523
265651	Q7L5L3	R-HSA-6814848
265652	Q7L5N1	R-HSA-5696394
265653	Q7L5N1	R-HSA-6781823
265654	Q7L5N1	R-HSA-8856825
265655	Q7L5N1	R-HSA-8951664
265656	Q7L5N7	R-HSA-1482788
265657	Q7L5Y6	R-HSA-983168
265658	Q7L7L0	R-HSA-3214815
265659	Q7L7L0	R-HSA-3214847
265660	Q7L7L0	R-HSA-3214847
265661	Q7L7L0	R-HSA-3214858
265662	Q7L7L0	R-HSA-5689603
265663	Q7L7L0	R-HSA-5689880
265664	Q7L7L0	R-HSA-5689901
265665	Q7L7L0	R-HSA-9609690
265666	Q7L7L0	R-HSA-9610379
265667	Q7L7X3	R-HSA-141444
265668	Q7L7X3	R-HSA-2467813
265669	Q7L7X3	R-HSA-2500257
265670	Q7L7X3	R-HSA-5663220
265671	Q7L7X3	R-HSA-68877
265672	Q7L7X3	R-HSA-9648025
265673	Q7L804	R-HSA-432040
265674	Q7L8A9	R-HSA-8955332
265675	Q7L8W6	R-HSA-5358493
265676	Q7L945	R-HSA-212436
265677	Q7L9B9	R-HSA-9029569
265678	Q7L9L4	R-HSA-2028269
265679	Q7LBC6	R-HSA-3214842
265680	Q7LBE3	R-HSA-427601
265681	Q7LC44	R-HSA-9031628
265682	Q7LC44	R-HSA-9031628
265683	Q7LDG7	R-HSA-114508
265684	Q7LDG7	R-HSA-2871837
265685	Q7LDG7	R-HSA-354192
265686	Q7LDG7	R-HSA-392517
265687	Q7LFL8	R-HSA-9018519
265688	Q7LFX5	R-HSA-2022870
265689	Q7LG56	R-HSA-499943
265690	Q7LG56	R-HSA-5628897
265691	Q7LGA3	R-HSA-2022928
265692	Q7LGC8	R-HSA-2022870
265693	Q7LGC8	R-HSA-3595172
265763	Q7RTM1	R-HSA-9729555
265764	Q7RTN6	R-HSA-380972
265765	Q7RTP0	R-HSA-5223345
265766	Q7RTR2	R-HSA-3270619
265767	Q7RTR8	R-HSA-418594
265768	Q7RTR8	R-HSA-420499
265769	Q7RTS3	R-HSA-210747
265770	Q7RTS7	R-HSA-6805567
265771	Q7RTS7	R-HSA-6809371
265772	Q7RTT9	R-HSA-83936
265773	Q7RTU9	R-HSA-9662360
265774	Q7RTU9	R-HSA-9662361
265775	Q7RTV0	R-HSA-72163
265776	Q7RTV2	R-HSA-156590
265777	Q7RTW8	R-HSA-163125
265778	Q7RTX0	R-HSA-418594
265779	Q7RTX0	R-HSA-420499
265780	Q7RTX0	R-HSA-9717207
265781	Q7RTX0	R-HSA-9717207
265782	Q7RTX1	R-HSA-418594
265783	Q7RTX1	R-HSA-420499
265784	Q7RTX1	R-HSA-9717207
